Timestamp (ms),Gap Error (m)
1726249099413,1.2050269732023144
1726249099431,1.2323665761965792
1726249099451,1.2071524478195492
1726249099469,1.2625332584269873
1726249099484,1.2337754800054634
1726249099501,1.2614441838915549
1726249099519,1.1967017190131766
1726249099542,1.251062087465375
1726249099559,1.2219743613788654
1726249099575,1.2496326871339294
1726249099594,1.1912977321477767
1726249099610,1.2260829153344286
1726249099631,1.1955111923673765
1726249099649,1.2424344661837186
1726249099673,1.1836195128255582
1726249099688,1.2113269181084103
1726249099708,1.1818058983814286
1726249099725,1.236033894848434
1726249099740,1.2047405702760416
1726249099756,1.232365597497695
1726249099775,1.1730282991355763
1726249099799,1.2284036790225712
1726249099815,1.185189089223535
1726249099832,1.2106682232918748
1726249099851,1.1628648915469837
1726249099865,1.1905255853724546
1726249099883,1.160629100264178
1726249099904,1.2158446848218967
1726249099932,1.1548274642890104
1726249099945,1.1802757588660509
1726249099964,1.1502646962088838
1726249099982,1.2054301102241056
1726249099997,1.175484897479341
1726249100014,1.2003574077713877
1726249100032,1.1405392306364401
1726249100056,1.1956256463933377
1726249100072,1.165704856903048
1726249100090,1.1932324658556817
1726249100110,1.1333563479359143
